Time,ID,Ax,Ay,Az,Gx,Gy,Gz,H,W
2026-05-09 16:04:24.864,5,-0.04,-0.28,-0.06,25.9962,-21.5518,91.239,175,75
2026-05-09 16:04:24.864,4,0.34,0.44,1.32,-27.788,105.27700000000002,-5.742400000000001,175,75
2026-05-09 16:04:24.864,2,-0.72,0.04,0.21,-7.038600000000002,-183.6186,27.159399999999998,175,75
2026-05-09 16:04:24.864,3,0.5,0.94,0.43,5.3354,-6.6213999999999995,31.0964,175,75
2026-05-09 16:04:24.878,2,-0.8,-0.16,0.08,-0.20860000000000412,-189.8986,42.8394,175,75
2026-05-09 16:04:24.878,3,0.29,0.95,0.14,-10.2746,33.4386,-2.743599999999997,175,75
2026-05-09 16:04:24.878,5,0.44,-0.32,-0.1,11.3062,160.9582,8.199,175,75
2026-05-09 16:04:24.889,1,1.67,2.29,2.97,-95.6686,-73.4928,107.3056,175,75
2026-05-09 16:04:24.889,1,-0.74,-0.33,0.53,14.8214,-15.5728,20.6556,175,75
2026-05-09 16:04:24.902,2,-0.93,-0.85,-0.01,21.381399999999996,-151.96859999999998,81.4294,175,75
2026-05-09 16:04:24.902,5,1.49,-0.25,0.01,-9.1038,246.2982,-36.841,175,75
2026-05-09 16:04:24.902,3,0.24,0.91,0.76,-56.6146,129.7886,-33.5336,175,75
2026-05-09 16:04:24.911,1,-0.23,-0.89,0.72,-36.2186,-12.3328,-5.2644,175,75
2026-05-09 16:04:24.911,3,0.1,0.93,1.03,-69.8546,126.7386,-55.483599999999996,175,75
2026-05-09 16:04:24.912,4,0.81,-0.69,1.52,-20.348,125.827,-10.1324,175,75
2026-05-09 16:04:24.924,5,2.0,-0.72,1.79,-20.983800000000002,246.2982,196.31900000000002,175,75
2026-05-09 16:04:24.924,2,-0.92,-1.48,-0.16,38.09139999999999,-82.4586,134.9094,175,75
2026-05-09 16:04:24.924,1,0.18,-0.98,0.88,-36.5786,18.6972,-10.4444,175,75
2026-05-09 16:04:24.924,4,0.8,-0.76,1.63,-26.817999999999998,123.99700000000001,-22.0224,175,75
2026-05-09 16:04:24.934,5,-0.07,-0.54,2.0,18.1562,141.24820000000003,90.839,175,75
2026-05-09 16:04:24.934,2,-1.11,-1.61,-0.21,46.3214,-56.538599999999995,145.1494,175,75
2026-05-09 16:04:24.934,4,0.81,-0.75,1.8,-43.528,107.40700000000001,-31.5424,175,75
2026-05-09 16:04:24.945,5,0.99,0.09,2.0,0.8862000000000001,8.8282,-14.460999999999999,175,75
2026-05-09 16:04:24.945,1,0.05,-0.71,0.88,-32.3086,-1.7227999999999994,-8.0044,175,75
2026-05-09 16:04:24.945,5,2.0,0.54,2.0,-36.973800000000004,229.53820000000002,-72.381,175,75
2026-05-09 16:04:24.964,5,1.32,0.36,2.0,-61.943799999999996,246.2982,-246.90099999999998,175,75
2026-05-09 16:04:24.964,3,-0.17,1.06,1.21,-92.8346,138.7486,-141.7036,175,75
2026-05-09 16:04:24.964,1,0.32,-0.48,1.04,-30.9086,-11.3028,-6.054399999999999,175,75
2026-05-09 16:04:24.964,5,-0.26,0.46,2.0,-40.7538,246.2982,-246.90099999999998,175,75
