Time,ID,Ax,Ay,Az,Gx,Gy,Gz,H,W
2026-05-09 16:07:19.370,1,-0.72,-1.07,1.7,-1.6681999999999997,135.1026,-9.4786,175,75
2026-05-09 16:07:19.381,3,-3.72,2.41,3.07,-106.232,103.97879999999999,-51.12479999999999,175,75
2026-05-09 16:07:19.381,4,0.98,-0.37,1.54,-18.728399999999997,91.4766,45.8076,175,75
2026-05-09 16:07:19.381,5,-1.03,0.09,2.0,-99.9726,-252.6136,224.93720000000002,175,75
2026-05-09 16:07:19.381,3,-7.07,3.73,5.35,9.738,344.7188,179.85520000000002,175,75
2026-05-09 16:07:19.387,1,-0.67,-0.99,2.08,-22.5182,172.2426,-11.248600000000001,175,75
2026-05-09 16:07:19.387,5,-0.11,-0.78,1.86,-100.7826,-252.6136,242.6072,175,75
2026-05-09 16:07:19.398,1,-0.68,-0.83,2.68,-44.6482,213.2826,-3.0786000000000002,175,75
2026-05-09 16:07:19.398,2,-0.58,-0.83,0.31,16.7728,54.8694,-74.61420000000001,175,75
2026-05-09 16:07:19.398,4,0.56,0.06,1.63,-26.4084,57.456599999999995,25.2576,175,75
2026-05-09 16:07:19.415,5,1.53,-1.44,0.53,-67.55260000000001,-252.6136,242.6072,175,75
2026-05-09 16:07:19.415,2,-0.53,-0.56,0.32,15.6728,10.359400000000003,-106.9942,175,75
2026-05-09 16:07:19.415,1,-0.55,-0.91,3.26,-62.26820000000001,228.3426,-2.5886000000000005,175,75
2026-05-09 16:07:19.415,4,0.43,0.28,1.64,-29.0884,35.9966,23.677599999999998,175,75
2026-05-09 16:07:19.426,2,-0.54,-0.24,0.28,15.1828,-40.0706,-138.7642,175,75
2026-05-09 16:07:19.426,1,-0.49,-0.86,3.5,-76.0582,189.3126,3.6314,175,75
2026-05-09 16:07:19.426,5,2.0,-2.0,-0.59,-5.462599999999999,-252.6136,242.6072,175,75
2026-05-09 16:07:19.426,1,0.15,-0.64,3.36,-88.9182,126.8726,12.231399999999999,175,75
2026-05-09 16:07:19.432,2,-0.53,-0.04,0.23,11.9528,-69.0906,-156.0142,175,75
2026-05-09 16:07:19.432,2,-0.36,0.09,0.18,5.7328,-73.4206,-153.5742,175,75
2026-05-09 16:07:19.442,5,0.27,-1.36,-0.53,90.33739999999999,86.8564,-62.25279999999999,175,75
2026-05-09 16:07:19.442,3,1.13,-2.31,-2.86,-94.16199999999999,130.1988,-105.9348,175,75
2026-05-09 16:07:19.442,1,-0.14,-0.05,0.17,-146.5382,-67.3974,50.461400000000005,175,75
2026-05-09 16:07:19.448,5,-0.81,-0.79,-0.07,122.30739999999999,146.16639999999998,-196.2128,175,75
2026-05-09 16:07:19.464,3,-0.19,-1.33,-1.59,170.348,270.1388,-131.0548,175,75
2026-05-09 16:07:19.464,5,-1.21,-0.34,0.16,129.2274,141.9964,-257.6628,175,75
2026-05-09 16:07:19.464,2,-0.98,0.8,-0.1,24.0228,62.3694,54.775800000000004,175,75
